i,j,k,cost,amplitude,lower_bound,upper_bound
SOURCE,INBOUND.1926-10-31,0,0,1,0,1000000000000
INBOUND.1926-10-31,A204.1926-10-31,0,0,1,0.000,0.000
INBOUND.1926-10-31,A204.1926-10-31,1,0,1,0.000,0.000
SOURCE,INBOUND.1926-11-30,0,0,1,0,1000000000000
INBOUND.1926-11-30,A204.1926-11-30,0,0,1,0.000,0.000
INBOUND.1926-11-30,A204.1926-11-30,1,0,1,0.000,0.000
SOURCE,INBOUND.1926-12-31,0,0,1,0,1000000000000
INBOUND.1926-12-31,A204.1926-12-31,0,0,1,0.000,0.000
INBOUND.1926-12-31,A204.1926-12-31,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-01-31,0,0,1,0,1000000000000
INBOUND.1927-01-31,A204.1927-01-31,0,0,1,6.866,6.866
INBOUND.1927-01-31,A204.1927-01-31,1,0,1,0.000,0.000
SOURCE,INBOUND.1927-02-28,0,0,1,0,1000000000000
INBOUND.1927-02-28,A204.1927-02-28,0,0,1,9.157,9.157
INBOUND.1927-02-28,A204.1927-02-28,1,0,1,0.000,0.000
SOURCE,INBOUND.1927-03-31,0,0,1,0,1000000000000
INBOUND.1927-03-31,A204.1927-03-31,0,0,1,29.040,29.040
INBOUND.1927-03-31,A204.1927-03-31,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-04-30,0,0,1,0,1000000000000
INBOUND.1927-04-30,A204.1927-04-30,0,0,1,29.040,29.040
INBOUND.1927-04-30,A204.1927-04-30,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-05-31,0,0,1,0,1000000000000
INBOUND.1927-05-31,A204.1927-05-31,0,0,1,29.040,29.040
INBOUND.1927-05-31,A204.1927-05-31,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-06-30,0,0,1,0,1000000000000
INBOUND.1927-06-30,A204.1927-06-30,0,0,1,29.040,29.040
INBOUND.1927-06-30,A204.1927-06-30,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-07-31,0,0,1,0,1000000000000
INBOUND.1927-07-31,A204.1927-07-31,0,0,1,29.040,29.040
INBOUND.1927-07-31,A204.1927-07-31,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-08-31,0,0,1,0,1000000000000
INBOUND.1927-08-31,A204.1927-08-31,0,0,1,1.109,1.109
INBOUND.1927-08-31,A204.1927-08-31,1,0,1,2.640,2.640
SOURCE,INBOUND.1927-09-30,0,0,1,0,1000000000000
INBOUND.1927-09-30,A204.1927-09-30,0,0,1,5.984,5.984
INBOUND.1927-09-30,A204.1927-09-30,1,0,1,2.640,2.640
A204.1926-10-31,HU204.1926-10-31,0,0.00000,1.05600,0.000,1000000000000
A204.1926-11-30,HU204.1926-11-30,0,0.00000,1.05600,0.000,1000000000000
A204.1926-12-31,HU204.1926-12-31,0,0.00000,1.05600,0.000,1000000000000
